id	name	srounded	sangular	slinear	smovement	spoints	ssoft	srepeated	water	people	plants	food	animals	temperature	scenetype	movement	location	keywords	width	height	created_at	updated_at
1	p100001	0.74	0.26	0.47	1.00	0.26	0.84	0.42	3.47	1.26	1.16	1.32	4.84	1.16	4.95	4.42	5.00	bears polar arctic wildlife cold hug ice white snow fight two pair standing animals polarbear wrestle fight couple fur frozen dancing dance tundra struggle shiver	383	256	NULL	NULL
2	p10001	0.42	0.53	0.53	1.00	0.84	0.11	0.58	1.53	2.47	1.26	1.21	1.32	3.11	2.63	4.79	5.00	planes silver metal jet high sky flight wings sharp shiny airforce fly speed airplanes war weapons military motion fighter steel aircraft cockpit flying	385	256	NULL	NULL
3	p10003	0.83	0.33	0.11	0.83	0.11	0.50	0.72	1.67	3.50	1.83	1.33	1.33	3.78	3.00	4.00	4.78	balloon basket hot air hills high round fly lift skyward airborne flight lightbulb	256	383	NULL	NULL
4	p100097	0.69	0.15	0.15	0.92	0.31	0.85	0.46	4.62	1.38	1.77	2.46	4.62	2.85	4.77	4.54	4.85	bears fish fishes river water waves food white bird rapids rocks wild animal wooly brown salmon foam eating hunting feeding grizzly surf wet	383	256	NULL	NULL
5	p1001	0.39	0.91	0.61	0.09	0.74	0.70	0.78	1.22	1.17	2.78	1.26	1.30	2.91	3.35	1.65	4.87	ancient ruins temple grass stonehenge clouds rocks sunset tall old relic circle monument sacred site stones worship obelisk slabs pillars monoliths england druids ritual formation britain	386	256	NULL	NULL
6	p1002	0.90	0.10	0.15	0.05	0.45	0.60	0.70	1.55	1.10	4.95	1.20	1.15	3.35	4.95	1.35	4.75	flowers rose pink dew leaves leaf petals plants round blossom fragrant bloom green thorns bud rosebud drops garden soft smelling	384	256	NULL	NULL
7	p1003	0.73	0.20	0.07	0.67	0.60	0.47	0.93	1.60	1.27	4.87	2.13	4.87	3.53	5.00	3.00	4.93	butterfly flowers pollen blossoms pink nectar wings feeding plants animals monarch insect wildlife bug	385	256	NULL	NULL
8	p10046	0.00	0.53	0.32	1.00	0.89	0.42	0.79	1.42	2.05	1.21	1.21	1.32	2.89	2.74	4.95	4.89	jets sky trails planes wings flight army smoke 4 four military aircraft show formation vapor flying speed engines war airplanes angels airforce chemtrails fighter	384	256	NULL	NULL
9	p1005	0.94	0.00	0.17	0.28	0.56	0.50	0.61	1.50	1.39	1.39	1.56	4.83	3.11	4.28	1.83	3.17	eye beak feathers round animal faces bird stare brown nocturnal wise predator owls	384	256	NULL	NULL
10	p1010	0.86	0.24	0.71	0.48	0.43	0.76	0.67	4.86	3.95	2.52	1.62	1.57	3.43	4.62	2.95	4.90	lake boating fishing sunset water gold shore waves orange sunrise glare ripples fishermen boaters sunlight	383	256	NULL	NULL
